"BrixtonAcademy","Brighton","Bristol","Edinburgh","Newcastie","Cardiff","Dubin"
15.4293274787446,17.8727837696037,19.8839576063153,22.57302221107,34.9863826439829,45.3044566410444,52.2588376547743
13.179011519582,20.1740689891811,21.7993514716015,26.7628816512276,32.8860549973895,44.0981478075905,53.7325123733072
13.6601251816654,19.6343145081761,19.3400564408025,26.7125966226951,30.161933370035,44.8202930784572,53.5102599385732
16.1175965101779,18.0862175343044,18.571957199154,22.6784276685262,32.0237868862343,44.2869993650197,52.970460972033
12.6659565511319,19.4865343985298,20.2340511242105,23.7594582870865,31.7009943352543,43.9001844942106,53.9897952990033
13.9220725736384,19.1974318917399,22.2973322791709,25.8869138849996,32.6522822515022,44.3970694346571,56.3337839090059
13.9310180432561,18.9283064733192,24.9126782140546,25.7099552034256,32.5447080559136,41.134456297594,52.1904889585784
14.1099287835985,18.8882136516022,21.3913794730168,26.2255738290187,30.4492224153483,43.3546644202494,53.0144932895718
12.1517895074867,20.3584502073942,18.2811410352303,25.9243910307318,32.6630692018507,42.5674785805311,55.7791291604459
14.5677410909539,17.4656661429581,22.9982567564245,27.6985109673021,32.3249912998566,44.9085084807724,54.4992798171274
